날짜,시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
2019-10-29,강원,춘천시,4,0,1,7,2
2019-10-30,강원,춘천시,3,0,1,3,0
2019-10-31,강원,춘천시,3,0,0,3,0
2019-11-01,강원,춘천시,8,0,2,6,0
2019-11-02,강원,춘천시,7,0,2,12,0
2019-11-03,강원,춘천시,3,0,1,3,0
2019-11-04,강원,춘천시,6,0,3,3,0
2019-11-05,강원,춘천시,5,0,1,6,0
2019-11-06,강원,춘천시,7,1,2,7,0
2019-11-07,강원,춘천시,5,0,0,9,0
2019-11-08,강원,춘천시,10,0,2,14,4
2019-11-09,강원,춘천시,5,0,0,4,1
2019-11-10,강원,춘천시,3,0,0,3,0
2019-11-12,강원,춘천시,3,0,1,3,0
2019-11-13,강원,춘천시,6,0,1,8,1
2019-11-14,강원,춘천시,3,0,1,2,0
2019-11-15,강원,춘천시,7,0,0,6,1
2019-11-16,강원,춘천시,7,0,1,23,0
2019-11-17,강원,춘천시,7,0,4,18,1
2019-11-18,강원,춘천시,4,0,2,4,0
2019-11-19,강원,춘천시,6,0,2,7,1
2019-11-20,강원,춘천시,3,0,1,3,0
2019-11-21,강원,춘천시,4,0,0,6,0
2019-11-22,강원,춘천시,6,0,2,4,0
2019-11-23,강원,춘천시,5,0,2,2,1
2019-11-24,강원,춘천시,3,0,2,3,0
2019-11-25,강원,춘천시,4,1,1,7,0
2019-11-26,강원,춘천시,3,0,0,5,0
2019-11-27,강원,춘천시,2,0,1,1,1
2019-11-28,강원,춘천시,2,0,0,2,0
2019-11-29,강원,춘천시,6,0,0,10,1
2019-11-30,강원,춘천시,2,0,1,2,0
2019-12-01,강원,춘천시,3,1,0,3,0
2019-12-02,강원,춘천시,5,2,0,7,0
2019-12-03,강원,춘천시,4,0,1,4,0
2019-12-04,강원,춘천시,3,0,1,2,0
2019-12-05,강원,춘천시,3,0,1,5,0
2019-12-06,강원,춘천시,6,0,1,5,0
2019-12-07,강원,춘천시,5,0,0,16,0
2019-12-08,강원,춘천시,3,0,0,5,0
2019-12-09,강원,춘천시,5,0,2,5,0
2019-12-10,강원,춘천시,7,0,2,6,1
2019-12-11,강원,춘천시,3,0,2,5,0
2019-12-12,강원,춘천시,4,0,1,4,0
2019-12-13,강원,춘천시,7,1,3,7,0
2019-12-14,강원,춘천시,10,0,4,14,0
2019-12-15,강원,춘천시,1,0,0,1,0
2019-12-16,강원,춘천시,1,0,0,1,0
2019-12-17,강원,춘천시,7,0,0,6,1
2019-12-18,강원,춘천시,2,0,1,1,0
2019-12-19,강원,춘천시,6,0,0,7,2
2019-12-20,강원,춘천시,2,0,0,2,0
2019-12-21,강원,춘천시,2,0,1,1,0
2019-12-22,강원,춘천시,3,0,1,3,0
2019-12-23,강원,춘천시,4,0,2,2,1
2019-12-24,강원,춘천시,3,0,0,3,0
2019-12-25,강원,춘천시,4,0,0,6,0
2019-12-26,강원,춘천시,8,0,0,20,0
2019-12-27,강원,춘천시,10,1,2,15,1
2019-12-28,강원,춘천시,3,0,2,4,0
2019-12-29,강원,춘천시,2,0,1,1,1
2019-12-30,강원,춘천시,3,1,1,1,0
2019-12-31,강원,춘천시,2,0,0,3,0
