업소명,도로명주소,주요음식,신청일자,지정일자,재지정일자
고궁회관,강원도 속초시 번영로 203 (영랑동),칼국수,2003-05-30,2003-07-01,
낙원갈비,강원도 속초시 번영로 203 (영랑동),갈비.냉면,2003-05-30,2003-07-01,
콩서리,강원도 속초시 관광로 394 (노학동),"순두부, 가마솥밥정식",2018-10-19,2018-12-07,2021-11-30
심순네,강원도 속초시 싸리재길 258 (노학동),"간장게장백반,갈치조림",2006-05-30,2006-06-30,2017-11-10
영랑정가든,강원도 속초시 동해대로 4083 (조양동),"생고기,갈비",2011-07-19,2011-07-05,2017-11-10
엑스포긴자,"강원도 속초시 철새길 28, 1층 (조양동)","일식정식,모듬초밥",2005-05-30,2005-06-30,2012-12-17
전주속풀이해장국,강원도 속초시 동해대로 4076 (조양동),해장국,2006-05-30,2006-06-30,2019-11-21
그리운보리밥,강원도 속초시 법대로 34 (영랑동),보리비빔밥,2012-10-12,2012-12-17,2021-11-30
텃골순두부,강원도 속초시 원암학사평길 179 (노학동),"순주부,황태구이,두부전골",2007-05-30,2007-06-30,2016-11-04
초원갈비,강원도 속초시 동해대로 4024 (조양동),돼지갈비,2007-05-30,2007-06-30,2013-11-11
설악골순두부,강원도 속초시 설악산로 25-5 (대포동),"메밀국수,냉면",2005-05-30,2005-06-30,2018-12-07
송원면옥,강원도 속초시 미리내1길 9 (청호동),"냉면,편육",2005-05-30,2005-06-30,2013-11-11
남해여비,강원도 속초시 온천로 147 (노학동),"해장국,순두부",2009-06-08,2009-07-01,2013-11-11
성대한,"강원도 속초시 영랑해안길 21 (동명동,외1필지)","회, 매운탕",2007-05-30,2007-06-30,2012-12-17
속초까막골막국수,강원도 속초시 엑스포로 12-8 (조양동),"막국수,족발",2011-06-01,2011-07-05,2016-11-04
독도활어횟집,"강원도 속초시 장사항해안길 57, 1~3층 (장사동)","모둠회, 물회",2018-10-19,2018-12-07,2021-11-30
오리사냥,강원도 속초시 청대마을2길 29-4 (조양동),"로스구이, 주물럭",2010-06-24,2010-08-02,2021-11-30
신촌옥,강원도 속초시 청대로 341 (교동),"백반, 전골류",2015-09-30,2015-11-17,2021-11-30
착한고깃간부영,강원도 속초시 엑스포로1길 20 (조양동),한정식,2007-05-30,2007-06-30,2009-07-01
동해면옥,"강원도 속초시 영랑로6길 18, 1층 (영랑동)","냉면, 갈비탕",2011-06-01,2011-07-05,2021-11-30
법대로한식뷔페,"강원도 속초시 청초호반로 60 (조양동,외1)",한식뷔페,2008-05-30,2008-06-26,2016-11-04
무한장어,강원도 속초시 엑스포로1길 22 (조양동),장어요리,2009-06-08,2009-07-01,2013-11-11
용추골미궁순대,강원도 속초시 먹거리4길 27-1 (교동),해물탕,2010-06-24,2010-08-02,2012-12-17
미섬,강원도 속초시 먹거리2길 36 (교동),복요리,2007-05-30,2007-06-30,2009-07-01
초당본가,강원도 속초시 관광로 440 (노학동),순두부,2020-10-13,2020-11-30,2021-11-30
주식회사속초게찜,강원도 속초시 관광로 250 (노학동),대게요리,2017-09-26,2017-11-10,2021-11-30
섬진강민물장어,강원도 속초시 만천2길 17-5 (교동),장어구이,2008-05-30,2008-06-26,2021-11-30
해송정,강원도 속초시 교동로3길 93 (교동),"생고기,갈비,냉면",2007-05-30,2007-06-30,2008-06-26
